product_name,subcategory,parent_category
Bánh đậu Hoàng Gia,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Kim chi cải thảo King BBQ cắt lát 450g,Kim chi,Thực Phẩm Chế Biến
Bánh Dorayaki Marukyo trà xanh 310g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh pía sầu riêng Thiên Lương Đặc biệt Số 7-400g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh pía sầu riêng Thiên Lương số 9 gói 500g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh pía sầu riêng Thiên Lương chay số 11-400g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh mì mềm thịt xông khói Staff Plus gói 68g,Bánh mì,Thực Phẩm Chế Biến
Khô gà lá chanh Chà Bông Việt gói 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Thạch đen Cao Bằng Thạch An 230g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Thịt lợn hun khói Tâm Hòa Cao bằng gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Lạp sườn hun khói Cao Bằng Tâm Hòa 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Jambong vai xông khói Angst Trường Vinh,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Bánh cốm đậu xanh trần Bảo Minh 85g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc xích dinh dưỡng thịt heo Ponnie (35gr x 5 Cây),Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích Heo Cao Bồi xốt trứng muối cay 15g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Trà sữa thái Saionmilk chai 300ml,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chả cốm làng vòng Hoa Doanh gói 200g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Sanwhich khoai tây gạo lứt Momiji 300g,Bánh mì,Thực Phẩm Chế Biến
Sữa bắp non Sài Gòn 300ml,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh chưng Kay Nọi 800g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc xích tiệt trùng Heo Cao Bồi xốt spaghetti 15g*4,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích tiệt trùng Heo Cao Bồi xốt tôm sữa 20g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Kim chi cải thảo chay King BBQ 450g,Kim chi,Thực Phẩm Chế Biến
Xúc xích Đức Việt Seoul's 350g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Ba rọi nạc xông khói Le Gourmet gói 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích Đức Le Gourmet gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích heo tiệt trùng Every Day Halong Canfoco túi 250g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích Coctail Kitkool 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Kim chi cải thảo Cô Hường 500g,Kim chi,Thực Phẩm Chế Biến
Kim chi cải thảo cây King BBQ 950g,Kim chi,Thực Phẩm Chế Biến
Bông lan trứng muối Sapo hộp 215g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
