brand_name,n_products,n_categories,categories,avg_price,median_price,price_p10,price_p90,avg_promo_rate,avg_discount_depth,avg_price_volatility,price_range_p90_p10,brand_quadrant
S&B,2,1,Gia Vị,39419.60257787325,39419.60257787325,31921.815252416753,46917.38990332975,0.28034371643394196,0.15372453443319584,0.07240683444662702,14995.574650912997,niche_professional
Tân Việt Sin,2,1,Thực Phẩm Đông Lạnh,78850.0,78850.0,56330.0,101370.0,0.0,,0.0,45040.0,local_value
Qbb,2,1,Sữa Tươi,72201.63636363635,72201.63636363635,71685.12727272727,72718.14545454545,0.6790909090909091,0.13350125944584382,0.06849103640786519,1033.0181818181736,niche_professional
Kameda,2,1,Bánh Kẹo,33750.0,33750.0,26750.0,40750.0,0.0,,0.0,14000.0,niche_professional
Colgate,2,1,Chăm Sóc Bé,35585.358056265984,35585.358056265984,34550.11508951407,36620.6010230179,0.03644501278772379,0.09174261470773099,0.016977529104222837,2070.4859335038345,household_giant
Mỹ Ngọc,2,1,Thực Phẩm Chế Biến,21075.0,21075.0,20415.0,21735.0,0.1875,0.2009132420091324,0.053011855814488223,1320.0,local_value
Kinh Đô,2,1,Thực Phẩm Chế Biến,12955.172413793103,12955.172413793103,12111.034482758621,13799.310344827585,0.0,,0.0028116317151848052,1688.2758620689638,household_giant
Kiwifood,2,1,Sữa Tươi,112783.78378378379,112783.78378378379,108481.08108108108,117086.48648648648,0.0,,0.023185505096798176,8605.4054054054,local_value
Kiến Lĩnh,2,1,Thực Phẩm Chế Biến,170279.71014492755,170279.71014492755,167703.47826086957,172855.9420289855,0.3188405797101449,0.07201079902393438,0.018404177971515414,5152.463768115937,local_value
Huggies,2,1,Chăm Sóc Bé,319000.0,319000.0,221560.0,416440.0,0.35,0.3574144486692015,0.11061099189622761,194880.0,niche_professional
Lactacyd,2,1,Chăm Sóc Bé,148399.30481283422,148399.30481283422,115220.56684491978,181578.04278074866,0.260427807486631,0.18641322535305535,0.08572400950586644,66357.47593582887,niche_professional
Lactima,2,1,Sữa Tươi,72996.57004830918,72996.57004830918,72906.86956521739,73086.27053140097,0.35193236714975845,0.07600000000000001,0.03763677098210544,179.40096618357347,local_value
Humanwell,2,1,Thực Phẩm Khô,44582.608695652176,44582.608695652176,44582.608695652176,44582.608695652176,0.0,,0.048632167190042694,0.0,local_value
Hải Châu,2,1,Gia Vị,5200.0,5200.0,5200.0,5200.0,0.0,,0.0,0.0,local_value
Leibniz,2,1,Bánh Kẹo,67950.0,67950.0,56710.0,79190.0,0.0,,0.0,22480.0,niche_professional
Mayora,2,1,Bánh Kẹo,27972.727272727272,27972.727272727272,27354.545454545456,28590.90909090909,0.022727272727272728,0.11764705882352941,0.012608644515654382,1236.3636363636324,local_value
