product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition
Phô mai lát Lactima Cheddar 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,72884.44444444444,75000.0,45,0.37777777777777777,0.07466666666666667,0.037672466944108425,2,0.07466666666666666,1,0,1,17,17.0,0,Lactima,local_value,0,0
Phô mai lát Sandwich Zott gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,62810.16949152543,67000.0,59,0.3559322033898305,0.17569296375266524,0.09054555155410385,3,0.21818181818181825,1,0,1,13,10.5,0,Zott,niche_professional,1,0
Phô mai sữa chua Kids Mix Premium hoa quả vỉ 6 hộp 50g,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,88000.0,88000.0,54,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai vuông Belcube vị sữa Con Bò Cười gói 125g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,70833.33333333333,71500.0,51,0.3333333333333333,0.027972027972027972,0.013442688806668893,2,0.02877697841726623,1,0,1,9,8.5,0,Belcube,niche_professional,1,0
Phô mai vuông vị sữa Belcube gói 78g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,51160.377358490565,51500.0,53,0.33962264150943394,0.019417475728155338,0.009345379218183989,2,0.01980198019801982,1,0,1,11,9.0,0,Belcube,niche_professional,1,0
Phô mai vị vanilla QBB 90g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,71501.96078431372,79400.0,51,0.7450980392156863,0.13350125944584382,0.06525011748496902,2,0.15406976744186052,1,0,1,21,12.666666666666666,0,Qbb,niche_professional,1,0
Phô mai ăn vị dâu chuối Kidsmix vỉ 4 hộp x 50g,Gói 4,Bơ Sữa - Phô Mai,Sữa Tươi,55141.379310344826,57000.0,58,0.2413793103448276,0.13508771929824562,0.06027705579662354,2,0.15618661257606492,1,0,1,14,14.0,0,Kidsmix,local_value,0,0
Phô mai ăn vị dâu lê Kidsmix vỉ 4 hộp x 50g,Gói 4,Bơ Sữa - Phô Mai,Sữa Tươi,55141.379310344826,57000.0,58,0.2413793103448276,0.13508771929824562,0.06027705579662354,2,0.15618661257606492,1,0,1,14,14.0,0,Kidsmix,local_value,0,0
Phô mai ăn vị dâu mâm xôi Kidsmix vỉ 4 hộp x 50g,Gói 4,Bơ Sữa - Phô Mai,Sữa Tươi,55141.379310344826,57000.0,58,0.2413793103448276,0.13508771929824562,0.06027705579662354,2,0.15618661257606492,1,0,1,14,14.0,0,Kidsmix,local_value,0,0
Solse Phomai dây hun khói 100g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,68000.0,68000.0,47,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Solse,local_value,0,0
