product_name,subcategory,parent_category
Lốc 4 chai sữa chua uống Probi light ít đường 130ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp sữa tiệt trùng Ba Vì có đường 180ml,Sữa tươi,Sữa các loại
Sữa chua Nuti nha đam hộp 100g,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống Vinamilk Probi đường 700ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa lúa mạch socola KUN túi 110ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 6 hộp sữa tiệt trùng Bringrae Hương dưa lưới 200ml,Sữa tươi,Sữa các loại
Sữa đậu nành hạt óc chó Vinamilk lốc 4 hộp x 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa hạt óc chó TH True NUT lốc 4 hộp x 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa hạt Macca TH True NUT lốc 4 hộp x 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Lốc 4 hộp sữa hạt hạnh nhân TH true NUT 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa dinh dưỡng Vinamilk Sure Prevent 200ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng canxi MeaDow Fresh hộp 200g,Sữa tươi,Sữa các loại
Sữa đặc có đường Ông Thọ đỏ hộp giấy 380g,Sữa Đặc,Sữa các loại
Sữa đặc có đường Ông Thọ chữ xanh - Hộp giấy 380g,Sữa Đặc,Sữa các loại
Sữa đặc có đường Ngôi Sao Phương Nam hộp giấy 380g (Xanh lá),Sữa Đặc,Sữa các loại
Sữa tươi tiệt trùng Devondale nguyên chất 6 hộp x 200ml,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng Devondale nguyên chất 1L,Sữa tươi,Sữa các loại
Phô mai dây hun khói Solse gói 200g,Bơ Sữa - Phô Mai,Sữa các loại
Lốc 4 hộp sữa chua ăn Ba Vì hộp 100g,Sữa Chua - Váng Sữa,Sữa các loại
Bơ lạt tự nhiên TH True milk 200g,Bơ Sữa - Phô Mai,Sữa các loại
Sữa trái cây KUN vị cam lốc 4 hộp x 180ml,Sữa tươi,Sữa các loại
